BBD,Call,9/23/2021 08:06,Thursday,08:06,2021-12-17,84,3.5,3.85,-9.09%,1023,26,39.34615384615385,45.79%,0.7039,0.406,0.0064,-0.0017,0.51,0.55
GOEV,Call,9/23/2021 08:13,Thursday,08:13,2021-09-24,0,8.0,7.36,8.70%,3296,424,7.773584905660377,247.20%,0.2788,0.3093,0.0015,-0.1191,0.0066,0.20
GRWG,Call,9/23/2021 08:30,Thursday,08:30,2021-10-15,21,32.0,27.88,14.78%,1326,60,22.1,67.70%,0.2297,0.0651,0.0209,-0.0317,0.3557,0.61
AAL,Call,9/23/2021 08:31,Thursday,08:31,2021-10-15,21,23.5,21.15,11.11%,3036,342,8.87719298245614,40.19%,0.1518,0.1121,0.0123,-0.011,0.186,0.17
XLE,Call,9/23/2021 08:58,Thursday,08:58,2021-10-29,35,53.5,49.99,7.02%,304,3,101.33333333333333,27.77%,0.2293,0.0693,0.0477,-0.0182,1.0823,0.57
LUV,Call,9/23/2021 09:03,Thursday,09:03,2021-10-15,21,56.0,52.37,6.93%,1298,37,35.08108108108108,28.57%,0.1799,0.071,0.0339,-0.0218,0.5527,0.36
SPXU,Call,9/23/2021 09:19,Thursday,09:19,2021-10-01,7,17.0,15.93,6.72%,10078,894,11.272930648769576,54.54%,0.2258,0.2303,0.0072,-0.0238,0.0774,0.17
PLTR,Call,9/23/2021 09:33,Thursday,09:33,2021-12-17,84,37.0,28.56,29.55%,324,49,6.612244897959184,52.76%,0.1857,0.0368,0.0369,-0.0114,1.0832,0.68
QS,Put,9/23/2021 09:40,Thursday,09:40,2021-09-24,0,25.0,26.3,-4.94%,3595,713,5.042075736325386,118.47%,-0.2215,0.1652,0.0045,-0.2214,-0.0202,0.24
XLE,Put,9/23/2021 09:50,Thursday,09:50,2021-11-19,56,43.0,50.27,-14.46%,2008,332,6.048192771084337,36.87%,-0.1269,0.0284,0.0414,-0.0133,-1.0779,0.51
BMY,Call,9/23/2021 09:53,Thursday,09:53,2021-10-29,35,67.0,61.22,9.44%,3000,76,39.473684210526315,24.76%,0.1115,0.0397,0.0366,-0.011,0.6529,0.28
UBER,Call,9/23/2021 10:08,Thursday,10:08,2021-10-01,7,51.0,45.24,12.73%,2360,755,3.1258278145695364,47.31%,0.0488,0.0315,0.0069,-0.0197,0.0481,0.07
WFC,Call,9/23/2021 10:25,Thursday,10:25,2021-10-15,21,52.0,47.86,8.65%,1064,317,3.356466876971609,28.71%,0.1276,0.0616,0.0246,-0.0159,0.3583,0.22
LVS,Call,9/23/2021 10:34,Thursday,10:34,2021-10-22,28,43.0,37.66,14.18%,800,39,20.512820512820515,46.41%,0.1722,0.0516,0.0272,-0.0216,0.4839,0.46
FSR,Put,9/23/2021 10:51,Thursday,10:51,2021-09-24,0,14.0,14.7,-4.76%,2012,271,7.424354243542435,93.74%,-0.1834,0.3402,0.0022,-0.0931,-0.0089,0.09
SNAP,Call,9/23/2021 11:00,Thursday,11:00,2021-10-01,7,83.0,78.92,5.17%,1961,636,3.0833333333333335,51.94%,0.2703,0.054,0.039,-0.1243,0.455,0.99
QQQ,Put,9/23/2021 11:03,Thursday,11:03,2021-11-19,56,260.0,372.91,-30.28%,24028,1074,22.37243947858473,45.03%,-0.0173,0.0006,0.0631,-0.0248,-1.0789,0.45
F,Call,9/23/2021 11:17,Thursday,11:17,2021-10-22,28,15.0,13.7,9.49%,6454,2044,3.1575342465753424,35.83%,0.1982,0.2008,0.0108,-0.0066,0.2051,0.15
GM,Put,9/23/2021 11:20,Thursday,11:20,2022-06-17,266,30.0,51.72,-42.00%,9000,1167,7.712082262210797,41.66%,-0.0438,0.005,0.0411,-0.0032,-1.9372,0.42
JBLU,Call,9/23/2021 11:34,Thursday,11:34,2021-11-19,56,18.0,15.81,13.85%,534,136,3.926470588235294,40.34%,0.2312,0.1207,0.0191,-0.0067,0.5231,0.32
FCEL,Call,9/23/2021 11:52,Thursday,11:52,2021-10-22,28,10.0,7.04,42.05%,1087,120,9.058333333333334,110.72%,0.1676,0.1138,0.005,-0.0095,0.0805,0.19
XLK,Put,9/23/2021 11:59,Thursday,11:59,2021-10-15,21,146.0,156.87,-6.93%,2193,414,5.297101449275362,25.16%,-0.1185,0.0204,0.0765,-0.0438,-1.1612,0.60
CCJ,Call,9/23/2021 12:08,Thursday,12:08,2021-10-15,21,23.5,21.17,11.01%,474,90,5.266666666666667,57.68%,0.2508,0.1058,0.0166,-0.0213,0.2962,0.44
ATUS,Call,9/23/2021 12:16,Thursday,12:16,2021-10-15,21,24.0,22.47,6.81%,668,40,16.7,41.91%,0.2765,0.1444,0.0185,-0.0175,0.3534,0.50
XLRE,Put,9/23/2021 12:26,Thursday,12:26,2021-11-19,56,44.0,46.69,-5.76%,500,57,8.771929824561404,20.73%,-0.2272,0.0787,0.0557,-0.0103,-1.7425,0.60
CLNE,Call,9/23/2021 12:48,Thursday,12:48,2021-12-17,84,12.0,8.33,44.06%,10019,1961,5.109127995920449,75.77%,0.2072,0.0939,0.0115,-0.0051,0.3319,0.35
ATUS,Put,9/23/2021 13:01,Thursday,13:01,2021-10-15,21,20.0,22.02,-9.17%,363,7,51.857142857142854,60.84%,-0.2294,0.0917,0.0165,-0.0227,-0.3353,0.50
BA,Call,9/23/2021 13:27,Thursday,13:27,2021-10-01,7,232.5,221.14,5.14%,1589,212,7.495283018867925,27.46%,0.1138,0.0214,0.0633,-0.1079,0.5451,0.50
UVXY,Put,9/23/2021 13:36,Thursday,13:36,2021-10-08,14,18.5,21.42,-13.63%,1207,386,3.126943005181347,62.92%,-0.1098,0.0685,0.0082,-0.0171,-0.1035,0.16
DKNG,Call,9/23/2021 13:54,Thursday,13:54,2021-10-22,28,63.0,51.88,21.43%,2870,159,18.050314465408807,54.46%,0.1174,0.0247,0.0288,-0.027,0.4505,0.46
QS,Put,9/23/2021 13:56,Thursday,13:56,2021-09-24,0,26.0,27.57,-5.69%,7184,48,149.66666666666666,121.74%,-0.1801,0.1468,0.0039,-0.2288,-0.0146,0.20
FSR,Put,9/23/2021 13:59,Thursday,13:59,2022-05-20,238,7.5,14.68,-48.91%,2622,4,655.5,90.75%,-0.1006,0.0163,0.0209,-0.004,-1.4443,0.76
