WMT,Call,10/1/2021 08:41,Friday,08:41,2021-10-15,13,143.0,136.0,5.15%,3346,1112,3.008992805755396,20.73%,0.1144,0.0347,0.052,-0.0378,0.5955,0.32
GLD,Put,10/1/2021 08:46,Friday,08:46,2022-03-18,167,110.0,164.47,-33.12%,10000,11,909.0909090909091,26.28%,-0.0097,0.0009,0.029,-0.0023,-0.7833,0.11
VIXY,Call,10/1/2021 08:59,Friday,08:59,2021-10-08,6,24.5,22.76,7.64%,500,32,15.625,127.69%,0.3319,0.0879,0.0115,-0.0839,0.1335,0.90
XLU,Put,10/1/2021 09:03,Friday,09:03,2021-10-15,13,59.0,63.99,-7.80%,2500,107,23.364485981308412,29.37%,-0.076,0.0385,0.0181,-0.0186,-0.1949,0.14
PINS,Put,10/1/2021 09:17,Friday,09:17,2021-10-08,6,51.0,53.64,-4.92%,2047,437,4.684210526315789,49.24%,-0.2251,0.0807,0.0226,-0.0774,-0.249,0.54
JWN,Call,10/1/2021 09:59,Friday,09:59,2021-10-15,13,28.0,26.55,5.46%,2238,178,12.573033707865168,55.16%,0.3359,0.1261,0.0191,-0.0371,0.3238,0.62
AMZN,Call,10/1/2021 10:18,Friday,10:18,2021-10-08,6,3580.0,3277.28,9.24%,635,115,5.521739130434782,29.85%,0.0187,0.0003,0.2108,-0.4369,1.1919,0.99
LCID,Put,10/1/2021 11:01,Friday,11:01,2021-10-08,6,23.0,24.66,-6.73%,5499,1775,3.0980281690140843,79.31%,-0.249,0.1159,0.0109,-0.0606,-0.1288,0.44
AEZS,Call,10/1/2021 11:24,Friday,11:24,2021-10-15,13,0.5,0.8,-37.50%,1403,190,7.38421052631579,307.96%,0.8613,0.4538,0.0003,-0.0038,0.0133,0.40
PROG,Call,10/1/2021 11:33,Friday,11:33,2021-10-15,13,2.5,1.72,45.35%,20627,6746,3.0576638007708272,370.55%,0.4286,0.3084,0.0013,-0.0165,0.018,0.30
EWZ,Put,10/1/2021 11:39,Friday,11:39,2021-10-22,20,29.0,33.01,-12.15%,951,22,43.22727272727273,43.66%,-0.1015,0.0511,0.0141,-0.0148,-0.2043,0.18
FB,Put,10/1/2021 11:56,Friday,11:56,2021-10-08,6,320.0,343.59,-6.87%,2672,844,3.1658767772511847,39.15%,-0.0922,0.0088,0.0793,-0.218,-0.6343,0.83
XLY,Put,10/1/2021 11:58,Friday,11:58,2021-10-15,13,166.0,180.49,-8.03%,1202,178,6.752808988764045,32.09%,-0.0888,0.0141,0.057,-0.0649,-0.6381,0.52
INTC,Call,10/1/2021 12:15,Friday,12:15,2021-11-05,34,59.0,53.69,9.89%,374,15,24.933333333333334,29.94%,0.1574,0.0482,0.04,-0.0162,0.7749,0.41
XRT,Put,10/1/2021 12:48,Friday,12:48,2021-12-17,76,70.0,91.54,-23.53%,435,22,19.772727272727273,41.77%,-0.0697,0.0076,0.0562,-0.0154,-1.4706,0.64
TMC,Call,10/1/2021 12:50,Friday,12:50,2021-10-08,6,5.5,4.93,11.56%,1660,437,3.7986270022883297,213.64%,0.4135,0.2654,0.0027,-0.0403,0.0323,0.40
ITUB,Call,10/1/2021 13:01,Friday,13:01,2021-11-19,48,5.0,5.52,-9.42%,2002,581,3.4457831325301207,117.05%,0.2421,0.1088,0.0052,-0.005,0.138,0.65
IYR,Put,10/1/2021 13:21,Friday,13:21,2021-11-19,48,95.0,104.1,-8.74%,13836,42,329.42857142857144,24.66%,-0.1457,0.0243,0.0873,-0.022,-2.1393,0.76
CLF,Call,10/1/2021 13:24,Friday,13:24,2021-10-08,6,21.0,19.71,6.54%,5059,1684,3.0041567695961997,66.23%,0.2604,0.1787,0.0089,-0.0415,0.094,0.28
SLB,Call,10/1/2021 13:41,Friday,13:41,2021-10-08,6,33.0,30.51,8.16%,2326,487,4.776180698151951,47.01%,0.1204,0.1006,0.0085,-0.0283,0.0687,0.13
SPY,Put,10/1/2021 13:51,Friday,13:51,2021-11-05,34,340.0,434.54,-21.76%,6737,169,39.86390532544379,39.04%,-0.0184,0.0009,0.0606,-0.0338,-0.8008,0.37
XLE,Call,10/1/2021 13:57,Friday,13:57,2021-11-19,48,65.0,53.8,20.82%,38509,3819,10.083529719821943,34.19%,0.0743,0.0208,0.0277,-0.0097,0.5089,0.22
XLB,Put,10/1/2021 13:59,Friday,13:59,2021-10-15,13,76.5,80.51,-4.98%,2033,101,20.128712871287128,27.76%,-0.1673,0.0571,0.0395,-0.0391,-0.5333,0.44
