high_date_time,amount_of_time_above_fifty_percent,low_diff_time,time_to_first_minus_twenty_timestamp,tags,avg_ask,high_return,amount_of_time_above_hundred_percent,time_to_first_minus_ten,time_to_first_minus_ten_timestamp,amount_of_time_below_zero_percent,volume,emojis,alert_time,time_to_first_minus_fourty,delta,time_to_first_plus_ten,underlying_purchase_price,time_to_first_plus_hundred,time_to_first_plus_fourty_timestamp,days_to_expiry,gamma,avg_return,theta,open_interest,bid,vega,implied_volatility,time_to_first_plus_fifty_timestamp,time_to_first_minus_twenty,option_type,time_to_first_plus_twenty,time_to_first_plus_thirty_timestamp,amount_of_time_above_itm_percent,time_to_first_minus_thirty,tier,time_to_first_minus_fifty_timestamp,ever_itm,ask,low_return,strike_price,time_spent_above_hundred_in_hours,avg_one_day_return,low_date_time,ticker_symbol,time_to_first_minus_fourty_timestamp,current_return,avg_fourteen_day_return,time_spent_above_fifty_in_hours,high_diff_time,amount_of_time_above_zero_percent,time_to_first_plus_twenty_timestamp,sector,avg_three_day_return,low,industry_type,avg_seven_day_return,company_name,avg_twentyone_day_return,time_to_first_plus_thirty,buy_amount,high,option_symbol,theo,time_to_first_minus_thirty_timestamp,time_to_first_plus_fourty,time_to_first_plus_ten_timestamp,amount_of_time_above_ten_percent,time_spent_above_thirty_in_hours,id,diff,time_to_first_plus_hundred_timestamp,time_spent_below_zero_in_hours,time_to_first_plus_fifty,time_to_first_minus_fifty,amount_of_time_above_thirty_percent,itm_time,expires_at,rho
2021-04-16 18:29:45Z,0,364.4138889,2021-04-06 14:11:37Z,-,2.18989899,21.56862745,0,2.070277778,2021-04-01 16:09:08Z,96.96969697,626,?????,2021-04-01 14:04:55Z,340.9927778,-0.0852,0.76,216.33,,,199,0.0027,-14.12160824,-0.0195,121,2.25,0.2689,0.3381,,120.1116667,put,,,0,196.1977778,free,,FALSE,2.85,-36.47058824,155,0,6.078431373,2021-04-05 17:46:07Z,CRM,2021-04-15 19:04:29Z,-23.52941176,-10.32149797,0,99.68666667,3.03030303,,Technology Services,5.604575163,1.62,Software Publishers,-2.675689745,Salesforce.Com Inc,-12.0922722,,159630,3.1,CRM211119P00155000,2.555,2021-04-09 18:16:47Z,,2021-04-01 14:50:31Z,0,0,70c4149d-9e0a-4277-a66f-528fc216d0ca,-28.3502057,,85794.71667,,,0,,2021-11-19,-13.3505
2021-04-22 14:04:02Z,0,503.9711111,2021-04-01 15:06:34Z,-,1.562643312,0,0,0.217777778,2021-04-01 14:18:50Z,100,517,????,2021-04-01 14:05:46Z,1.552222222,0.3938,0.217777778,146.56,,,-4,0.0147,-76.32358618,-0.157,85,5.35,0.159,0.6261,,1.013333333,call,,,0,1.013333333,premium,2021-04-05 15:25:41Z,FALSE,7.85,-98.18181818,155,0,-22.31691919,2021-04-01 14:34:50Z,PDD,2021-04-01 15:38:54Z,-94.54545455,-64.21846011,0,0.484444444,0,,Retail Trade,-22.84848485,0.12,Electronic Shopping,-44.37363324,Pinduoduo Inc - ADR,-73.21380471,,341220,6.6,PDD210430C00155000,6.6,2021-04-01 15:06:34Z,,2021-04-01 14:18:50Z,0,0,efdd3623-21cd-4d81-a0ba-a9ed0bcd86ba,5.758733624,,97672.54389,,97.33194444,0,,2021-04-30,4.1024
2021-04-26 13:46:18Z,0,599.6322222,2021-04-05 13:46:31Z,-,0.097700651,1.639344262,0,6.079444444,2021-04-01 20:13:08Z,100,1505,??????????,2021-04-01 14:08:22Z,144.4561111,-0.0177,0.179166667,398.54,,,3,0.001,-67.96699975,-0.0276,21,0.3,0.0548,0.3648,,95.63583333,put,,,0,95.63583333,premium,2021-04-08 13:45:50Z,FALSE,0.31,-93.44262295,315,0,-4.234972678,2021-04-01 14:19:07Z,SPY,2021-04-07 14:35:44Z,-93.44262295,-52.02142251,0,0.179166667,0,,,-6.30517024,0.02,,-33.87540984,SSgA Active Trust - SSGA SPDR S&P 500,-62.22915659,,45902.5,0.31,SPY210507P00315000,0.305,2021-04-05 13:46:31Z,,2021-04-01 14:19:07Z,0,0,a06362cb-a0a9-4c1e-a7cd-c783ad505eca,-20.96150951,,158622.6803,,167.6244444,0,,2021-05-07,-0.7315
2021-05-03 17:59:41Z,0,771.8116667,2021-04-01 14:35:16Z,-,0.397884972,12.32876712,0,0.404722222,2021-04-01 14:35:16Z,99.62894249,16540,????,2021-04-01 14:10:59Z,146.0052778,0.157,0.139444444,93.71,,,17,0.0173,-63.66347286,-0.0331,1212,1.04,0.0836,0.3992,,0.404722222,call,,,0,2.497222222,premium,2021-04-13 14:34:12Z,FALSE,1.15,-97.26027397,110,0,-22.48858447,2021-04-06 14:10:29Z,MU,2021-04-07 16:11:18Z,-97.26027397,-34.39938875,0,119.9916667,0.371057514,,Electronic Technology,-21.63681068,0.03,Semiconductor and Related Device Manufacturing,-20.13150685,Micron Technology Inc.,-50.85386904,,1811130,1.23,MU210521C00110000,1.07,2021-04-01 16:40:49Z,,2021-04-01 14:19:21Z,0,0,f172a663-fa96-4abc-b013-716c26133047,17.38341692,,212768.5522,,288.3869444,0,,2021-05-21,1.8795
2021-04-19 18:42:07Z,0,436.5019444,2021-04-01 14:35:14Z,-,0.125016835,27.65957447,0,0.122222222,2021-04-01 14:19:20Z,100,5000,????,2021-04-01 14:12:00Z,0.387222222,0.1627,0.122222222,49.36,,,-4,0.0427,-73.4006734,-0.0232,143,0.24,0.0343,0.4113,,0.387222222,call,,,0,0.387222222,free,2021-04-01 14:35:14Z,FALSE,0.7,-93.61702128,55.5,0,-30.23049645,2021-04-01 14:19:20Z,XLE,2021-04-01 14:35:14Z,-91.4893617,-70.15295223,0,0.122222222,0,,,-29.95090016,0.03,,-57.0893617,SSgA Active Trust - SSgA Energy Select Sector SPDR,-73.4006734,,235000,0.6,XLE210430C00055500,0.4698,2021-04-01 14:35:14Z,,2021-04-01 14:19:20Z,0,0,1ed10ca1-6f85-4892-93da-b7f78836536c,12.43922204,,68182.66278,,0.387222222,0,,2021-04-30,0.6063
2021-05-03 15:27:04Z,6.481481481,769.2244444,2021-04-01 15:21:55Z,-,4.50712963,161.9469027,1.111111111,0.359444444,2021-04-01 14:35:10Z,70.74074074,8258,???????,2021-04-01 14:13:36Z,2.700555556,0.0883,0.094444444,690.12,293.2180556,2021-04-13 16:39:07Z,17,0.0011,-20.22779417,-0.2403,472,5.55,0.4104,0.5888,2021-04-13 16:54:32Z,1.138611111,call,288.8666667,2021-04-13 15:05:36Z,0,2.700555556,premium,2021-04-09 15:23:26Z,FALSE,5.75,-93.45132743,950,1836.955833,-26.4380531,2021-04-14 14:03:25Z,TSLA,2021-04-01 16:55:38Z,-92.56637168,3.257060255,10762.90361,311.8302778,29.25925926,2021-04-13 15:05:36Z,Consumer Durables,-23.34921715,0.37,Automobile Manufacturing,-15.4619469,Tesla Inc,3.672210491,288.8666667,4665770,14.8,TSLA210521C00950000,5.6498,2021-04-01 16:55:38Z,290.4252778,2021-04-01 14:19:16Z,20.18518519,24134.01083,6a55169b-3547-4429-8cc2-30ec62f57b55,37.65721903,2021-04-13 19:26:41Z,161393.4264,290.6822222,193.1638889,13.88888889,,2021-05-21,7.6226
2021-04-13 17:25:31Z,12.06030151,291.0775,2021-04-09 14:04:11Z,-,0.538190955,121.0526316,2.010050251,167.4238889,2021-04-08 13:46:18Z,55.27638191,2627,??,2021-04-01 14:20:52Z,291.0775,0.8048,144.7819444,1.375,4.613333333,2021-04-01 14:50:33Z,-18,0.3779,13.3033589,-0.0066,831,0.45,0.0008,2.6037,2021-04-01 15:54:48Z,191.7219444,call,0.228888889,2021-04-01 14:34:36Z,100,264.2372222,free,,TRUE,0.5,-36.84210526,1,20.7375,73.91304348,2021-04-01 19:58:19Z,UXIN,2021-04-13 17:25:31Z,-36.84210526,13.3033589,738.1427778,5.624166667,44.72361809,2021-04-01 14:34:36Z,Technology Services,74.49392713,0.3,Software Publishers,32.54736842,Uxin Ltd - ADR,13.3033589,0.228888889,124782.5,1.05,UXIN210416C00001000,0.4755,2021-04-12 14:35:06Z,0.494722222,2021-04-07 15:07:47Z,44.72361809,4078.484722,27898366-7958-4a15-809e-74eabc6932cb,-27.27272727,2021-04-01 18:57:40Z,24764.45639,1.565555556,,30.15075377,2021-04-01 14:34:36Z,2021-04-16,0.0263
2021-04-23 18:58:49Z,0,532.6136111,2021-04-06 14:10:13Z,-,5.612010178,6.822612086,0,95.68916667,2021-04-05 14:03:21Z,95.41984733,301,?????,2021-04-01 14:22:00Z,167.3966667,-0.9319,0.207777778,123.4,,,-11,0.0166,-56.24163604,-0.0233,97,12.7,0.0401,0.2595,,119.8036111,put,,,100,146.0933333,premium,2021-04-08 18:48:13Z,TRUE,12.95,-92.04678363,136,0,3.229087211,2021-04-01 19:58:29Z,AAPL,2021-04-08 13:45:48Z,-89.47368421,-44.3861979,0,5.608055556,4.580152672,,Electronic Technology,2.024291498,1.02,Electronic Computer Manufacturing,-22.56374269,Apple Inc,-54.57284856,,386032.5,13.7,AAPL210423P00136000,12.8746,2021-04-07 16:27:36Z,,2021-04-01 14:34:28Z,0,0,726f0022-0e02-45bb-8b2a-647319165851,10.21069692,,115499.3269,,172.4369444,0,2021-04-01 14:34:28Z,2021-04-23,-7.7987
2021-04-01 19:58:41Z,73.46938776,5.568055556,,-,5.819369202,110.6293706,5.751391466,,,2.226345083,322,??????,2021-04-01 14:24:36Z,,0.1591,0.164444444,323.72,287.8816667,2021-04-05 18:32:58Z,164,0.0054,62.7795581,-0.0273,2,3.56,0.5763,0.19,2021-04-08 13:45:56Z,,call,95.92416667,2021-04-05 15:56:13Z,0,,premium,,FALSE,3.59,-2.937062937,375,10133.95889,0.687138948,2021-04-15 14:55:06Z,QQQ,,31.74825175,60.72660407,172460.575,336.5083333,97.77365492,2021-04-05 14:20:03Z,Miscellaneous,2.474448628,3.47,,34.31496503,Invesco Capital Management LLC - Invesco QQQ Trust Series 1,63.73985264,97.52694444,115115,7.53,QQQ211015C00375000,3.555,,100.1394444,2021-04-01 14:34:28Z,95.54730983,212694.8728,c13e1a32-14bc-4eb4-a6da-0526d43427a1,15.84085012,2021-04-13 14:17:30Z,51.82583333,167.3555556,,94.24860853,,2021-10-15,25.9045
2021-04-08 14:52:07Z,0,168.4152778,2021-04-01 15:22:11Z,-,0.1075,11.36363636,0,0.1375,2021-04-01 14:35:27Z,99.30555556,5539,?????????,2021-04-01 14:27:12Z,5.026111111,0.1979,0.1375,23.54,,,-25,0.064,-75.56818182,-0.0731,431,0.42,0.0099,1.2276,,0.916388889,call,,,0,3.248888889,premium,2021-04-05 13:46:47Z,FALSE,0.46,-95.45454545,28,0,-23.22134387,2021-04-01 14:51:23Z,FUBO,2021-04-01 19:28:46Z,-95.45454545,-75.56818182,0,0.403055556,0.694444444,,Consumer Services,-28.23426573,0.02,Motion Picture and Video Production,-74.45454545,fuboTV Inc,-75.56818182,,243716,0.49,FUBO210409C00028000,0.44,2021-04-01 17:42:08Z,,2021-04-01 14:35:27Z,0,0,376cc927-0e64-4557-8192-7063c8791c8d,18.94647409,,17673.89611,,95.32638889,0,,2021-04-09,0.0955
